Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
DT,0,427,11006,13442,7136,11134,11959,16583,23413,24142,28327,33723,35315,35918,37106,35435,33349,29869,26313,22640,18677,15017,12304,9950,8094,6014,4844,3888,2924,2006,1381,1057,709,487,849
DQ,1,404,9535,12652,7919,11639,11932,16625,23413,24366,28242,33706,34710,35754,36963,35426,33511,30041,26220,22650,18579,15373,12322,10040,8058,6072,4909,3884,2783,1991,1476,1049,715,496,764
DE,0,411,9819,12455,7527,11609,11950,16374,23566,24227,27946,33825,35358,35766,36687,35716,33545,30096,26404,22645,18540,15290,12465,10071,7738,6191,4783,3872,2824,1992,1378,1005,681,475,751
DH,0,420,9410,13367,7307,11457,12035,16435,23190,23925,28291,33563,35219,35487,37114,35145,33489,30245,26331,22284,18781,15257,12437,10070,7987,6186,5017,3798,2886,2032,1386,1044,686,430,693
DV,2,409,9308,12313,7013,11176,11928,16615,23717,24139,28128,34045,35161,35750,37056,35518,33180,30287,26128,22627,18386,15107,12418,9832,7859,6188,4884,3801,2869,2031,1483,1116,757,503,878
DR,0,463,9489,12938,7668,11779,12300,16896,23706,24180,28187,33591,35076,35643,37108,35677,33380,30393,26410,22584,18501,15331,12236,9888,8004,6195,4797,3762,2742,1911,1409,996,684,450,736
DI,0,411,9207,12241,7030,11228,11710,16404,23646,24247,27849,33469,35119,35648,36909,35275,33029,30360,26436,22645,18611,15305,12631,10258,8105,6127,4906,3836,2899,2060,1511,991,709,518,837
DL,0,409,9263,12450,7053,11095,11867,16466,23622,23957,28140,33229,35447,35401,37052,35254,33238,30248,26527,22613,18603,15354,12492,10029,7963,6226,4818,3906,2895,2057,1493,1020,691,487,795
DK,0,455,9299,12488,7279,11507,12210,16751,23476,24201,28226,33722,34956,35968,37037,35550,33411,30163,26147,22563,18658,15339,12310,10011,7891,6144,4828,3933,2822,2028,1403,1080,723,499,779
DM,0,438,9109,12334,7071,11058,12203,16678,23556,24293,28421,33517,35358,35450,36884,35475,33508,30074,26479,22935,18613,15405,12354,10036,7937,6167,4781,3828,2879,1966,1443,1056,769,512,752
DF,0,414,9220,12226,6961,11120,11758,16533,23305,24144,28273,33494,34850,35990,36985,35612,33361,30444,26375,22765,18784,15184,12458,10013,7887,6292,4908,3875,2891,1951,1513,1032,755,484,797
DW,0,476,9324,12421,7157,11336,11876,16466,23612,24310,27958,33550,34802,35650,36800,35762,33568,30155,26428,22493,18783,15478,12309,10010,8082,6121,5009,3801,2839,2038,1368,1075,703,492,832
DY,0,413,9272,12259,7094,11025,11946,16580,23522,24140,28207,33518,34844,35571,36919,35224,33337,30234,26586,22606,18868,15300,12450,10009,8035,6178,4957,3821,2920,2036,1428,1038,789,503,785
CC,0,160,4922,7323,3425,5405,5838,8304,11614,12004,14233,16797,17562,18030,18680,17646,16634,15016,13135,11464,9314,7662,6198,4978,3919,3170,2478,1985,1441,1019,715,557,382,271,418
CP,1,184,6703,12960,6489,11123,11727,16692,23476,24388,28101,33729,34929,35685,37143,35546,33419,30184,26529,22416,18610,15446,12462,10077,7955,6179,5100,3754,2790,2084,1490,1046,780,541,978
CT,1,260,10694,14184,6712,11136,12034,16434,23248,24176,27930,33474,35118,35649,37188,35534,33277,29992,26572,22915,18747,15413,12577,10153,8051,6179,4992,3825,2892,2003,1480,1068,732,502,830
CQ,1,284,9429,13349,7453,11637,11755,16849,23338,23793,28069,33744,35213,35767,37108,35669,33558,29962,26291,22492,18740,15434,12195,9804,7973,6058,4820,3926,2872,1952,1394,1053,716,502,825
CE,0,284,9350,13082,6861,11622,11859,16749,23729,24320,28390,33951,34905,35906,37430,35628,33467,30139,26523,22656,18736,15277,12279,9907,7977,6196,4951,3959,2855,2083,1457,1115,798,572,931
CH,0,273,9105,14028,6749,11504,12090,16460,23385,24291,28254,33370,35125,36075,37098,35446,33383,30441,26586,22237,18603,15363,12629,9848,8086,6192,4900,3791,2818,1994,1419,1068,692,461,745
CV,0,281,9176,12934,6670,11182,11900,16497,23670,24542,28370,33855,35213,35904,36828,35805,33240,30117,26012,22506,18654,15292,12513,9782,7831,6080,4886,3854,2880,2002,1379,1038,696,508,749
CR,0,254,9075,13584,7193,11771,12361,16955,23433,23886,28001,33631,34981,36012,37234,35567,33576,30161,26646,22437,18566,15122,12257,10194,7946,6262,4938,3915,2906,2085,1421,1081,709,432,797
CI,0,257,8983,12982,6501,10904,11869,16605,23241,24037,28144,33669,35230,35892,36908,35361,33525,30188,26677,22393,18611,15287,12493,10059,7809,6289,4890,3820,2875,2006,1439,1048,738,463,751
CL,0,276,9067,12889,6520,10971,11755,16651,23274,24280,28405,33925,35178,35840,37197,35503,33512,30079,26098,22217,18632,15265,12447,9884,7950,6241,4856,3834,2852,2001,1441,1063,715,478,730
CK,0,259,9139,12961,6919,11515,12184,16617,23322,24145,28226,33335,34942,35660,37089,35593,33545,30122,26312,22652,18426,15155,12426,10070,7827,6188,4885,3952,2825,2016,1407,1030,679,468,815
CM,0,279,9206,12909,6720,11192,11871,16592,23505,24250,28025,33665,35166,35354,37020,35748,33058,30446,26376,22413,18503,15483,12329,10002,7933,6122,4945,3905,2812,2071,1488,1043,749,483,832
CF,0,300,8975,12902,6541,10915,11806,16319,23300,24125,28180,33400,34680,35793,36978,35409,33225,30239,26577,22852,18528,15298,12636,10192,7920,6110,4941,3841,2825,2064,1476,1049,737,482,866
CW,0,297,9126,12844,6785,11225,11996,16571,23509,24037,28212,33505,35118,35983,37247,35427,33392,30127,26365,22673,18599,15408,12437,9995,7720,6158,4816,3840,2771,1993,1398,982,708,485,750
CY,1,264,9073,12821,6594,11042,12267,16704,23559,24035,28150,33385,35320,35945,36736,35420,33466,30174,26444,22478,18849,15172,12380,10003,7971,6152,5133,3840,2858,2001,1385,1080,712,434,843
PP,0,24,1963,5636,3038,5610,5826,8273,11857,12080,14154,17074,17525,17725,18448,17910,16544,15185,13170,11208,9096,7524,6261,5043,3867,3093,2405,1899,1364,1017,668,478,357,252,389
PT,0,169,7790,12751,6393,11049,11817,16836,23724,24325,28330,33573,35099,35859,37174,35469,33380,30484,26062,22557,18774,15234,12494,9892,7801,6160,4996,3660,2796,1989,1424,1053,708,447,752
PQ,0,172,6499,11807,7328,11498,12002,16554,23502,24111,28303,33563,34980,35502,36904,35646,33348,30324,26379,22426,18647,15330,12525,10064,8029,6307,4962,3893,2809,2014,1379,1012,686,454,814
EP,1,167,6522,11508,6705,11434,11872,16543,23295,24099,27934,33990,35030,35800,36988,35634,33204,30419,26065,22260,18666,15294,12336,9941,7985,6244,5040,3771,2890,2015,1423,1008,685,471,801
HP,0,158,6113,12488,6457,11446,11715,16756,23351,24093,28205,33845,34999,35377,36860,35679,33476,30231,26462,22817,18449,15233,12548,10104,7954,6217,4836,3880,2818,2005,1380,975,715,486,727
PV,4,150,6016,11430,6299,11077,11707,16306,23520,24327,28237,33733,34989,35614,37083,35454,33283,29850,26282,22473,18479,15260,12538,9895,8020,6263,4998,3833,2880,2014,1559,1058,690,488,804
PR,0,177,6156,12137,6764,11533,12242,16690,23310,24133,28100,33631,34915,35600,37396,35197,33630,29945,26184,22556,18674,15462,12578,10091,7905,6264,4938,3782,2833,2122,1425,995,712,465,725
IP,0,166,6090,11536,6359,11332,11969,16491,23447,23996,27987,33884,35201,35728,37183,35682,33293,30112,26419,22494,18729,15460,12638,10020,8004,6084,4995,3865,2882,1943,1392,1038,725,478,806
LP,0,169,6071,11432,6345,11161,11777,16229,23372,24504,28160,33312,35070,36134,37237,35733,33155,30274,26272,22492,18551,15411,12422,10077,7954,6225,4921,3877,2934,2016,1434,981,744,479,738
KP,0,183,6046,11536,6565,11484,12065,16622,23660,24305,28030,33808,35014,36004,37145,35792,33105,30567,26372,22677,18544,15332,12427,10036,7867,6218,4947,3755,2779,1926,1435,978,719,530,866
MP,0,169,6095,11372,6346,11048,12009,16372,23413,23958,28168,33770,35152,35797,36954,35850,33204,30095,26340,22606,18702,15348,12435,9896,7983,6336,4986,3863,2855,2033,1406,1089,741,483,822
FP,0,162,6021,11561,6447,10968,11740,16546,23484,24311,28193,33390,35188,35587,37024,35440,33256,30206,26535,22619,18893,15400,12908,10256,7897,6236,4987,3795,2886,1990,1393,978,777,493,841
PW,0,163,6043,11421,6438,11157,11786,16528,23296,24136,27706,33718,34835,35384,37088,35588,33381,30149,26200,22717,18810,15414,12444,9946,8038,6288,5072,3897,2848,2009,1435,1006,698,526,855
PY,0,148,6050,11577,6289,10777,12036,16882,23251,24153,27695,33417,34812,35444,36697,35562,33256,30253,26567,22769,18804,15474,12698,10206,8137,6383,5080,4020,2918,1970,1397,952,677,474,740
TT,0,138,5914,7013,3207,5640,5983,8351,11706,12241,14213,16764,17616,18055,18568,17740,16837,15221,13159,11448,9282,7671,6084,5005,3914,3044,2430,1869,1378,1001,762,510,354,243,385
QT,0,273,10180,13252,7351,11505,12043,16664,23525,24032,27923,33739,34957,36030,37000,35543,33354,30255,26218,22683,18589,15079,12313,9932,7967,6090,4802,3831,2848,2060,1444,1045,677,460,734
ET,0,318,10406,12898,6853,11633,11841,16765,23582,24187,28469,33887,35119,36110,37151,35847,33681,30254,26365,22515,18356,14943,12334,10132,7836,6084,4783,3850,2875,1950,1354,949,648,464,719
HT,0,301,10223,13601,6670,11426,11978,16843,23706,24060,27980,33581,35405,35863,36734,35513,33357,30033,26451,22609,18467,15402,12543,10115,8014,6324,4798,3872,2888,2059,1463,980,717,497,753
TV,0,272,10056,12594,6493,11231,11927,16397,23785,24179,27990,33901,35163,35852,37115,35445,33182,30121,26211,22638,18753,15185,12291,9829,8037,6264,4897,3850,2924,1901,1401,1023,664,504,740
RT,0,319,9999,13162,6928,11523,12306,16630,23733,24184,28000,33671,34966,35666,37521,35507,33059,30019,26501,22718,18860,15134,12466,9896,7821,5984,4986,3879,2848,2085,1435,998,740,450,732
IT,1,292,10070,12601,6400,11229,11793,16631,23542,23695,28350,33673,35101,36006,37118,35546,33188,30146,26019,22565,18518,15072,12431,9975,7927,6203,5005,3826,2863,2003,1436,1033,673,497,843
LT,1,290,10005,12750,6488,11177,11917,16599,23586,24254,28127,33682,35368,35716,37183,35468,33325,30343,26231,22464,18464,15282,12436,9944,7954,6260,4943,3834,2820,2055,1434,1033,708,500,753
KT,0,274,10091,12598,6645,11309,12105,16408,23529,24184,28142,33581,35047,35989,37232,35528,33232,30013,26239,22483,18624,15150,12393,10030,7960,6297,4850,3868,2828,1998,1397,1044,689,512,787
MT,0,293,9991,12691,6486,11060,11778,16673,23451,24188,27967,33462,34925,35420,36993,35554,33568,30012,26522,22728,18529,15257,12364,10108,7974,6238,5048,3934,2975,2041,1484,986,687,448,775
FT,0,290,10105,12626,6475,11006,12047,16359,23541,24128,28280,33872,35205,35700,37272,35216,33249,30131,26585,22590,18526,15118,12504,10002,8022,5965,4910,3768,2863,2015,1469,1032,720,521,882
TW,0,270,9977,12499,6568,11268,11874,16525,23186,24026,27969,33432,34989,35706,36648,35593,33178,30292,26364,22485,18860,15382,12406,10115,7983,6085,4947,3927,2877,2033,1450,1065,733,474,852
TY,0,272,10035,12528,6533,11125,12182,16628,23555,24143,28128,33601,34846,35846,37320,35607,33743,30312,26648,22400,18531,15065,12168,10026,7995,6139,5021,3831,2911,2082,1426,1041,760,469,867
QQ,0,148,4461,6264,4113,5970,5911,8237,11556,12010,14112,16855,17479,17740,18278,17870,16579,15304,13137,11514,9279,7683,6212,4977,3922,3168,2503,1902,1445,1097,721,529,361,262,413
EQ,0,290,9188,12125,7811,11960,12049,16683,23541,24035,28362,33686,35156,35572,37103,35634,33354,30303,26333,22432,18603,15162,12475,9996,7819,6160,4902,3741,2790,1938,1346,1005,651,451,709
